,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
00:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
01:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
02:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
03:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
04:00:00,,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,
05:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
06:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
07:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
08:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
09:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
10:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
11:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
12:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,x,x,x,x
13:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,,x,x,x
14:00:00,x,x,x,,,x,x,x,x,x,,,x,x,x,x,x,,,x,x,x,x,,,,,x,x,x
15:00:00,x,x,x,,,x,x,x,x,,,,x,x,x,x,,,,x,x,x,x,,,,,x,x,x
16:00:00,x,x,x,,,x,x,x,x,,,,x,x,x,x,,,,x,x,x,x,,,,,x,x,x
17:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,,,,,
18:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
19:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
20:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
21:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
22:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
23:00:00,,,,,,,,,x,,,,,,,x,,,,,,,,,,x,,,,
